,Model,Accuracy Score
0,Random Forrest,0.72
1,Logistic Regression,0.6942857142857143
2,SVM,0.7285714285714285
3,Neural Network,0.677142858505249
4,SVM with Top Features,0.7142857142857143
5,Logistic Regression with Top Features,0.72
6,Neural Network with Top Features,0.7114285826683044
